epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.7763,3.34895,5.3985,2.10399,0.00022,0.1,4e-05,1e-05,3.54812,5.11413,2.38293,8.335e-05,8.335e-05,8.335e-05
2,19.2513,2.86325,4.51885,1.87515,0.00091,0.35,0.00055,0.00011,3.52303,5.18982,2.28555,0.000179739,0.000179739,0.000179739
3,28.7341,2.92381,4.32055,1.61689,0.00019,0.0625,3e-05,0,4.09165,5.44011,2.53922,0.000272168,0.000272168,0.000272168
4,38.1224,2.68467,3.82468,1.55329,0.00018,0.0625,3e-05,2e-05,3.09463,5.3956,2.16017,0.000360635,0.000360635,0.000360635
5,47.5677,2.56086,3.69181,1.49971,0.00081,0.325,0.00035,8e-05,3.27392,5.40523,2.22394,0.000445142,0.000445142,0.000445142
6,56.9954,2.53361,3.39585,1.56023,0.00025,0.1,0.00011,3e-05,3.51022,5.13189,2.3926,0.000525688,0.000525688,0.000525688
7,66.3974,2.52154,3.08383,1.46827,0.00107,0.4125,0.00131,0.00028,2.3453,4.73477,1.85964,0.000602274,0.000602274,0.000602274
8,75.7464,2.3148,2.88093,1.46992,0.00148,0.575,0.00215,0.00055,2.22068,4.58025,1.66997,0.000674898,0.000674898,0.000674898
9,85.1857,2.39089,2.64436,1.38032,0.00172,0.675,0.0022,0.00058,2.52748,4.50335,1.78357,0.000743562,0.000743562,0.000743562
10,94.6124,2.20108,2.83476,1.50378,0.00171,0.675,0.00227,0.00064,2.75246,4.38099,1.9144,0.000808265,0.000808265,0.000808265
11,104.038,2.35838,2.76202,1.4715,0.00125,0.475,0.0019,0.00052,2.53339,4.27233,1.8262,0.000869007,0.000869007,0.000869007
12,113.444,2.44046,2.79146,1.6415,0.00148,0.575,0.01695,0.00678,2.75425,4.40345,1.89136,0.000925788,0.000925788,0.000925788
13,122.86,2.3858,2.72682,1.54454,0.00141,0.5375,0.06425,0.02555,2.97129,4.30013,2.03246,0.000978609,0.000978609,0.000978609
14,132.279,2.29093,2.81977,1.53641,0.00143,0.5,0.0062,0.00162,2.70409,4.26015,1.87597,0.00102747,0.00102747,0.00102747
15,141.654,2.21947,2.38829,1.40362,0.00149,0.5375,0.03343,0.01645,2.62074,4.24956,1.86976,0.00107237,0.00107237,0.00107237
16,151.066,2.5635,3.50292,1.44448,0.00155,0.5375,0.13521,0.02779,2.82339,4.18361,1.93569,0.00111331,0.00111331,0.00111331
17,160.409,1.91665,3.1986,1.10445,0.00175,0.6,0.21295,0.04644,2.71971,3.9571,1.95246,0.00113889,0.00113889,0.00113889
18,169.818,2.28739,2.41664,1.53499,0.13602,0.25,0.13741,0.06487,2.35839,3.75271,1.71058,0.00110589,0.00110589,0.00110589
19,179.201,2.31597,2.3259,1.45587,0.10185,0.0625,0.06709,0.03101,2.58876,3.91664,1.92268,0.00107288,0.00107288,0.00107288
20,188.632,2.20675,2.4013,1.46188,0.08447,0.0625,0.03958,0.02177,2.64494,4.19565,2.08581,0.00103987,0.00103987,0.00103987
21,197.987,1.84675,3.02383,1.16538,0.18558,0.1875,0.11067,0.04559,2.58012,4.00351,1.92873,0.00100687,0.00100687,0.00100687
22,207.347,2.11749,2.21602,1.4343,0.17753,0.3125,0.11736,0.04655,2.5383,3.7906,2.02202,0.000973861,0.000973861,0.000973861
23,216.734,2.41749,2.18563,1.53813,0.11539,0.20717,0.09241,0.03827,2.54596,3.63663,1.9754,0.000940855,0.000940855,0.000940855
24,226.128,2.07272,2.22616,1.39043,0.11456,0.225,0.12539,0.04965,2.34352,3.59446,1.80652,0.000907848,0.000907848,0.000907848
25,235.514,1.68464,2.67753,1.13817,0.34789,0.125,0.18481,0.09223,2.30635,3.56767,1.76778,0.000874842,0.000874842,0.000874842
26,244.889,1.96928,2.0515,1.33586,0.44651,0.125,0.17215,0.09056,2.67831,3.85055,2.00497,0.000841835,0.000841835,0.000841835
27,254.279,1.94536,2.21099,1.36866,0.46466,0.125,0.17856,0.08712,2.71865,3.67776,2.08858,0.000808828,0.000808828,0.000808828
28,263.663,2.05953,2.14549,1.40712,0.55397,0.225,0.2129,0.089,2.49804,3.33861,1.92199,0.000775822,0.000775822,0.000775822
29,273.046,2.15762,2.00911,1.3602,0.49658,0.225,0.20858,0.09396,2.35805,2.94486,1.8258,0.000742815,0.000742815,0.000742815
30,282.503,2.08612,1.84241,1.37178,0.97445,0.125,0.20299,0.08928,2.5301,2.88021,1.88357,0.000709809,0.000709809,0.000709809
31,291.96,1.88978,1.71416,1.29875,0.97878,0.125,0.22043,0.08231,2.64155,2.86708,1.92688,0.000676802,0.000676802,0.000676802
32,301.555,1.91185,1.68109,1.27161,0.97966,0.1875,0.26462,0.09165,2.69546,2.98284,1.87367,0.000643795,0.000643795,0.000643795
33,311.211,1.89385,1.78007,1.26106,0.96612,0.1875,0.28858,0.10491,2.78698,3.07278,1.89699,0.000610789,0.000610789,0.000610789
34,320.971,1.85146,1.83683,1.297,0.31326,0.35,0.32131,0.09579,2.79571,3.30318,1.88914,0.000577782,0.000577782,0.000577782
35,330.771,1.77668,1.71388,1.29332,0.32864,0.1875,0.26313,0.07638,2.81341,3.55935,1.95553,0.000544776,0.000544776,0.000544776
